original_station,replacement_station,distance_km,replacement_days_in_key_index,n_candidates_found,n_candidates_with_data,status
YF.STN05,3B.S71,31.9,6.0,2438.0,958.0,OK
AL.A032,8J.PKF17,13.4,77.0,2992.0,1499.0,OK
8P.CAU10,8P.REU10,8.5,25.0,56206.0,25576.0,OK
4P.SCX58,TA.Z58A,19.7,693.0,13702.0,3271.0,OK
EM.TS414,EM.TS412,31.9,32.0,3247.0,388.0,OK
GS.WWHL,GS.WCDR,3.9,63.0,62274.0,29729.0,OK
4P.COO21,TA.O21A,5.1,727.0,39911.0,20260.0,OK
4P.SDI28,TA.I28A,14.9,714.0,15213.0,6882.0,OK
4P.IDI11,TA.I11A,0.7,613.0,52395.0,22030.0,OK
1R.BHP8,1R.BHP7,0.0,78.0,8505.0,2772.0,OK
4P.SDJ26,TA.J26A,28.1,665.0,20044.0,8052.0,OK
4P.GAW50,ET.FPAL,27.3,6143.0,14862.0,3968.0,OK
4P.NDB29,TA.B29A,17.8,698.0,5128.0,4054.0,OK
ZU.134,ZU.133,12.9,23.0,3698.0,1185.0,OK
4P.UTO17,TA.O17A,19.4,605.0,47849.0,20984.0,OK
XI.NDEI,XI.KIBO,68.8,18.0,1830.0,385.0,OK
4P.MTB13,MB.WFMT,1.0,884.0,34171.0,16684.0,OK
4P.MII47,TA.J48A,36.6,624.0,11461.0,4586.0,OK
YB.CUST,TA.G22A,9.9,627.0,16455.0,7438.0,OK
4P.KYS51,TA.T51A,24.8,688.0,15130.0,4147.0,OK
7D.RIMM,7D.MIKE,26.1,662.0,1707.0,925.0,OK
ZU.NMY20,2D.W24SE,30.8,3.0,38024.0,18281.0,OK
MU.OXBV,MX.TLIG,83.7,4541.0,917.0,813.0,OK
4P.IAJ36,TA.J36A,7.3,711.0,8710.0,4178.0,OK
XA.O07H,XA.O07L,0.0,259.0,3388.0,1056.0,OK
4P.WVO55,TA.Q56A,16.9,713.0,15610.0,4489.0,OK
ZU.MSY45,TA.Z45A,26.0,658.0,12611.0,3822.0,OK
4P.WAC09,UW.DPW,5.5,9161.0,34858.0,14858.0,OK
