key1,key2,distance_km,shared_days
AK.GLB,PQ.RICHY,715.9504627760971,1056
JM.CVJB,ZC.HMDR,861.9852020105216,1050
C8.PCAQ,7O.ABNH,939.8400711715288,1042
QZ.USHN,QZ.TDK,641.1456047330958,1035
AF.PKA,AF.CVNA,350.4108459606019,1034
X5.CTSN,X5.NOTN,224.40270337496597,1033
8A.GAMM,8A.OMUT,484.83812731837247,1027
MP.DHK1,AB.HASN,620.0092943161387,1024
ZT.NHAM,AF.SNKL,376.29370435913415,1023
BX.KHWEE,AF.SNKL,741.5745777302501,1018
X5.MNGN,X5.NOTN,316.93235103555554,1010
N4.K50A,N4.P48A,436.9127367819614,1009
Z6.BRDL,IC.LSA,782.851899172256,1008
X8.QMM5,PO.LATQ,481.63261278773905,1001
CI.CIA,JW.BRR,1012.865414860057,994
GE.HLG,YI.BOB,1053.1084854254616,993
NL.HGN,CZ.BEDC,649.1450721504856,991
XB.PM35,XB.PM25,220.14302924022624,989
RU.ERBR,GE.TIRR,956.9465471043768,989
YM.MHCG,PE.PSSK,403.33890201140076,984
Z9.W14,KY.LLKY,660.2320311256416,983
ON.TER01,GT.CPUP,845.4277949845915,970
ZJ.BEBP,ZJ.DONT,277.35319492807844,961
S1.AUALB,IM.I04H3,148.34361286371697,953
XB.PM35,XB.PM18,353.63271954832203,950
X5.PNGN,X5.MNGN,351.73740209945623,946
C8.BNKB,US.HAWA,1069.2975126374488,945
CM.RUS,3C.GS02,345.04822381258685,942
LO.LOBA2,CM.SJC,1011.0607620357875,937
XC.OR088,US.HAWA,419.83695300734615,925
EC.SALI,CM.TUM,512.050794507963,916
XD.PSP03,YT.DUFK,801.2519153331722,915
GE.RUE,YI.BARR,919.5757763841947,911
ID.ERM,DT.SWU,344.40782257374,908
Z7.LA01,TX.BRDY,495.0628287032215,906
XB.PS16,XB.PM18,341.2317685090277,900
XI.SN44,US.ECSD,429.6389236462398,899
ZM.GM02,ZM.N140,287.6342188290606,889
G.KOG,IU.PTGA,1039.9562312679977,881
TC.ICC3,OV.CCOL,551.8226858559882,880
N4.P48A,N4.P51A,203.0715513381622,879
N4.V51A,N4.R53A,352.5065133293017,871
ZM.N215,ZM.N140,742.9384365856506,870
MM.SIM,MM.TGI,437.97793524943603,869
XI.SN44,XI.SC10,766.9534584796174,868
NI.ZOU2,MN.BNI,515.7190000754395,865
XB.PM35,3D.MM15,466.84437414058453,862
XI.SC09,US.ECSD,1003.7694071338562,860
IM.H01W2,IM.I04H3,205.13034936917848,857
XW.PDG,II.AAK,413.3089151416905,856
XY.PACW,US.GLMI,767.7116926184644,853
8A.HAO,8A.OTJO,255.9561357079244,853
XI.SM37,US.ECSD,268.1740684945988,852
8A.OKAM,8A.GAMM,272.34373688520424,850
Y1.TURK,Y1.KAEK,332.82598624313664,849
EC.TULM,EC.MILO,377.7799639612704,848
GT.CPUP,BL.AQDA,671.4835672342718,842
4P.MBB03,US.ECSD,804.9463413547874,839
XI.SC14,US.ECSD,1016.2569497813556,835
8A.OTJO,8A.WEWE,158.06907212423306,832
GE.SKD,GE.MRNI,1086.706497581365,831
6R.YABE,Y1.KAEK,303.6868402454592,826
XB.FREI,IU.PMSA,381.21611917182673,823
1P.GUMN,1P.CURI,154.53697080340368,822
XB.PM35,3D.MM05,232.06577958347393,820
IC.HIA,XG.ELSH,907.6361202277125,816
XI.SN44,XI.SC04,412.19338500557444,816
II.EFI,1P.EIDA,933.7269793325933,816
N4.Y60A,N4.P48A,883.062564143822,815
AF.MOPA,MZ.MOCU,931.5331815057559,812
II.EFI,1P.LVAN,908.054622805264,811
N4.R61A,N4.R53A,576.7236920242684,809
II.EFI,1P.PMOR,1052.6901445224005,807
Y1.N7001,IU.KEV,463.1649943870215,807
GE.SUMG,9D.KNS,1025.0595566264326,806
MP.AMR2,II.RAYN,956.0068500809065,806
YT.HOWE,XH.RS10,906.8884064551191,800
IU.TEIG,NU.ESPN,988.6181305167407,800
OH.CROH,PE.PSSK,507.7978241539407,796
4J.XB07,G.EDA,168.65380365736547,793
XH.RS12,YT.SILY,536.0832743668383,778
DK.SOEG,YM.KASE,842.3465167253014,775
XB.PS57,XB.PM18,358.7585614153149,770
IM.I07H8,S1.AUDHS,913.6377864783349,767
6R.MAGE,Y1.TURK,349.682685488797,764
XW.KHA,XW.PDG,451.5165845612041,761
PQ.LHLYB,NN.DIX,1069.8039948725755,761
PQ.CMBN,PQ.ULUN,516.4186124254353,761
RU.ERBR,KO.KARS,605.1660184946998,760
AK.TNA,XR.GTM,307.18091235504284,760
AK.GLB,7C.MM17,627.314707639623,757
8A.NEPA,8A.OTJO,361.26753866805393,755
YT.THUR,1D.KIBB,1016.8912736882992,753
XH.DR02,YT.AGO1,1075.002934727473,752
CU.BBGH,PR.IMPR,1050.7921598748069,751
YT.WILS,YT.HOWD,309.45459010675495,747
Z9.W315,Z9.E31,209.06495743416033,743
IU.MACI,ZI.MB16,697.9191865026315,740
YT.MRTP,YT.HOWD,842.8392185353863,739
XH.DR16,YT.MPAT,617.8101272257509,738
YU.GJ03,CM.SJC,352.39096771857317,738
II.NNA,TO.PG01,416.96482213647636,738
II.NNA,ZD.FM06,299.32731819210386,737
YU.MD04,CM.SJC,158.03047384272122,737
HL.RDO,YB.AT63,844.5356922310247,736
US.GLMI,X8.QM38,1103.1127110980444,735
