rank,network,station,lat,lon,days
421,XV,MMBE,-21.750099,43.372101,702
422,XT,TAUF,-17.971741,177.280457,328
423,ZT,NHAM,-24.91566,27.31703,1037
424,MH,P0012,-15.005483,-154.98335,223
425,8A,BAHE,-21.3521,15.4405,1306
426,YS,PL71,17.746901,-161.367599,414
427,MX,HPIG,26.936794,-105.664017,4279
428,NC,G005,38.592064,-123.319794,1747
429,NB,AGBR,-8.42954,-35.936161,240
430,MN,MEB,36.303,2.73,345
431,MH,P0025,-22.024383,-148.47345,70
432,VE,LUEV,5.8433,-61.4613,651
433,XJ,TIG,57.759483,158.685638,250
434,TO,SAFR,21.570499,-98.369598,188
435,2A,39,-12.37,-114.524902,190
436,XK,B17CI,-19.2938,22.909401,627
437,4P,ILM43,41.206753,-88.744317,42
438,ZF,HYNE,9.31476,42.096199,710
439,CU,BBGH,13.1434,-59.5588,7352
440,XI,CX111,21.3447,-89.2341,45
441,NU,CSGN,12.9763,-87.558701,3637
442,ZM,GM07,-77.313599,39.613201,322
443,DK,SCO,70.485536,-21.949715,5801
444,YD,3H07,47.673592,23.49605,683
445,YF,STN10,20.3675,-65.524498,45
446,PS,GTC1,31.4007,140.917297,1079
447,4Q,UT19,-22.621085,-68.369201,689
448,3B,EOC03,34.914823,-95.331186,49
449,NI,ZOU2,46.558399,12.9729,866
450,X4,D11,34.0555,97.205399,159
451,XL,HD68,44.403,102.444702,650
452,CI,CIA,33.401898,-118.415021,10006
453,XB,ALIE5,-41.710701,172.907394,369
454,BL,SNVB,0.9051,-51.877102,481
455,XR,MS09,23.478138,96.080143,398
456,8G,EC17,-0.0268,-79.847702,166
457,XD,SING,-4.6403,34.731499,372
458,GE,MELI,35.289902,-2.9392,1442
459,XY,PACW,39.9962,-77.9247,853
460,XL,HD75,49.3102,96.357101,640
461,XV,NAPU,-15.08,39.25,518
462,BL,TRSB,-4.873,-42.705898,604
463,ZM,ALYS,-84.354897,-23.7342,42
464,XB,PAPL,45.319138,-77.809006,132
465,Z5,NTGM,-0.832,30.272,726
466,Y1,KERK,2.61653,36.255065,603
467,XV,EH,9.058173,-79.664642,166
468,4P,MNB33,48.381253,-95.504593,23
469,N4,E62A,46.6201,-69.5227,2767
470,EI,IMAY,54.160708,-9.379619,1355
471,YB,IF01,62.359459,-6.52752,462
472,A7,LUENA,-12.370829,19.91033,28
473,YL,F01,-20.795,-173.913193,369
474,CB,WHN,30.542801,114.353897,3120
475,YU,NL02,9.2491,-70.2202,636
476,C1,CO05,-29.91864,-71.23841,3586
477,3D,MM15,31.1991,-8.8973,862
478,KZ,OTUK,48.244301,72.337502,3842
479,XY,U06B,-37.2244,-73.550003,148
480,QZ,ZSN,47.462283,84.866045,1535
481,M8,BK45,-30.00289,128.97015,31
482,ZX,215,40.438499,118.3479,392
483,2O,BTL04,-15.84238,133.93432,1923
484,MM,YGN,16.864799,96.153397,2943
485,ON,VAS01,-22.280081,-43.442623,2954
486,MH,P0022,-24.142517,-136.613917,454
487,CB,GZH,23.6525,113.652496,2505
488,XM,ASB08,-37.6872,-67.8793,470
489,9R,OBS16,18.39057,-81.81344,201
490,XM,ANB19,-27.7766,-62.9698,638
491,KR,SFK,40.017151,73.506289,4066
492,3H,G33,2.8879,-94.4777,452
493,XN,NUMFO,-0.966673,134.806885,17
494,Z9,W315,34.177898,-83.853104,749
495,YF,N6029,62.73584,17.815901,168
496,QZ,AKST,45.734274,62.857266,1581
497,XI,RIYD,24.722,46.643002,336
498,ZL,NOQE,-31.1994,-66.747002,710
499,Z8,356,36.036201,106.672401,472
500,Y1,N7001,68.400002,15.95431,810
501,N4,P38B,39.6248,-93.5321,4674
502,YP,NEP5,45.733601,122.619797,314
503,XM,HB01,55.8022,-160.905197,48
504,GO,GHRG,41.7348,42.341,1206
505,ZB,N60B,1.63527,99.883049,224
506,IC,QIZ,19.02928,109.84398,9352
507,IU,TBT,28.6794,-17.9145,740
508,KW,MIB,29.8032,47.338799,477
509,XD,HOT16,65.540825,-13.753478,749
510,7D,G13B,40.683998,-128.028305,286
511,GE,RIOB,-10.1501,-67.747002,200
512,S1,AUDHS,-12.44,130.833,3955
513,C8,PCAQ,49.7311,-62.9416,3261
514,AK,PS01,70.258,-148.6141,2387
515,YP,NE8I,45.994301,133.655807,656
516,ZU,NMW20,35.273922,-108.735317,32
517,YT,FALL,-85.3066,-143.6284,2843
518,4P,COP26,39.709203,-103.653028,30
519,DK,DBG,74.307055,-20.219193,4674
520,AF,MOPA,-23.517,31.398,4768
521,XE,WW03,-6.01551,-135.112,385
522,YY,SN32,59.712399,7.9995,346
523,AK,SPIA,57.1766,-170.2478,7599
524,DK,NEEM,77.444702,-51.073799,3917
525,7B,SC10,-25.190001,133.324097,71
526,7B,SC07,-19.369101,138.329407,71
527,4P,NVM07,41.388492,-119.171245,30
528,7B,SA05,-23.2005,144.272293,141
529,Y5,RW1,58.852901,-113.175903,577
530,TO,PH20,-16.4125,-73.124496,547
531,HL,RDO,41.145031,25.53553,5980
532,4O,GV01,32.4065,-101.6023,346
533,G,MATO,-15.49678,-58.1596,811
534,X5,CHIN,62.636665,-74.236,662
535,CB,GYA,26.459999,106.664001,2304
536,YS,PL63,14.7313,-153.967499,390
537,G,TAM,22.79149,5.52838,13786
538,4J,XB07,3.338652,8.69917,836
